policy_id,location_id,postcode,latitude,longitude,region,country,occupancy_type,construction_type,year_built,building_value,contents_value,business_interruption_value,hazard_zone,total_insured_value
POL0000001,LOC0000001,CH42 4VN,53.95141439974869,-2.243453556667706,North West,UK,Retail,Masonry,1900,240006.3,73206.01,90740.75,Medium,403953.06
POL0000002,LOC0000002,NG39 5RW,52.72575938827231,-1.1113529040598327,East Midlands,UK,Residential,Steel Frame,1966,720458.87,73810.39,0.0,Low,794269.26
POL0000003,LOC0000003,GL3 8BV,51.30035048890381,-2.8222574417834325,South West,UK,Residential,Masonry,2007,602878.41,105987.16,0.0,Medium,708865.57
POL0000004,LOC0000004,HD58 5CY,53.922091538836035,-2.15851720051136,Yorkshire and the Humber,UK,Residential,Timber,1967,232518.25,38364.85,0.0,High,270883.1
POL0000005,LOC0000005,SW17 3SV,51.10289990170217,-0.12026946545790172,Greater London,UK,Residential,Mixed,1951,216862.51,21489.44,0.0,Low,238351.95
POL0000006,LOC0000006,SE25 6DA,51.50095360910451,0.0029507392751755845,Greater London,UK,Residential,Timber,1912,388568.76,58634.89,0.0,Low,447203.65
POL0000007,LOC0000007,W8 2MH,52.032263108775346,-0.08788466629118796,Greater London,UK,Residential,Masonry,1956,320164.2,26038.01,0.0,Low,346202.21
POL0000008,LOC0000008,SY48 6XE,51.64908820209374,-3.5498025155335604,Wales,UK,Residential,Timber,1947,250581.86,41180.15,0.0,Low,291762.01
POL0000009,LOC0000009,HG43 3TM,54.01582254578463,-1.7491285287420575,Yorkshire and the Humber,UK,Residential,Steel Frame,2001,237051.0,44877.98,0.0,Low,281928.98
POL0000010,LOC0000010,TR6 1VG,51.47449783312271,-2.6292624775262814,South West,UK,Industrial,Masonry,1918,3650624.25,1299512.9,1540600.05,High,6490737.2
POL0000011,LOC0000011,EC29 7JK,51.79643278577593,-0.6253910906624998,Greater London,UK,Residential,Reinforced Concrete,2005,215918.67,31176.16,0.0,Low,247094.83
POL0000012,LOC0000012,NN51 6DP,52.31549318230779,-1.2392044248934113,East Midlands,UK,Retail,Reinforced Concrete,1972,773902.66,347970.94,360779.24,Low,1482652.84
POL0000013,LOC0000013,AB11 4AT,56.084488751933435,-3.13043763719315,Scotland,UK,Residential,Masonry,1993,296218.51,30573.48,0.0,Low,326791.99
POL0000014,LOC0000014,EC39 1SH,51.85221718647589,0.038601616188273985,Greater London,UK,Residential,Steel Frame,1933,335876.42,28977.96,0.0,High,364854.38
POL0000015,LOC0000015,NW33 8XR,51.34932246707924,-1.0112596585730786,Greater London,UK,Commercial,Mixed,1962,1441275.86,311203.18,424284.12,Medium,2176763.16
POL0000016,LOC0000016,W57 3DD,51.44075257442534,0.26302442085796324,Greater London,UK,Residential,Masonry,1923,180527.17,15260.19,0.0,Very High,195787.36
POL0000017,LOC0000017,OX96 6WS,51.34472662085321,-0.9673382998024496,South East,UK,Residential,Masonry,2000,403833.78,87095.19,0.0,Medium,490928.97
POL0000018,LOC0000018,WS2 1NR,52.60418087120588,-2.2762111022149303,West Midlands,UK,Retail,Masonry,1994,1632640.29,874848.81,640850.79,Very High,3148339.89
POL0000019,LOC0000019,CH73 8BA,53.65530605105887,-1.6204937197993519,North West,UK,Residential,Masonry,1940,250061.56,29722.69,0.0,Medium,279784.25
POL0000020,LOC0000020,RH43 3KP,51.40611226146985,-1.4071444802962747,South East,UK,Residential,Mixed,1986,236247.93,33011.96,0.0,High,269259.89
POL0000021,LOC0000021,,53.78215171243385,-2.39436596127137,Yorkshire and the Humber,UK,Commercial,Masonry,1979,5807631.81,1002926.74,1644514.97,Medium,8455073.52
POL0000022,LOC0000022,EC16 2TJ,51.60153291391345,0.044264263506459955,Greater London,UK,Residential,Masonry,1940,470419.53,41531.53,0.0,Low,511951.06
POL0000023,LOC0000023,RG44 3NE,51.92367816227676,-1.0518180211753174,South East,UK,Residential,Masonry,1957,152893.38,24440.62,0.0,Low,177334.0
POL0000024,LOC0000024,BL12 8AK,53.59517589468101,-2.569889478906642,North West,UK,Residential,Masonry,1945,115982.82,10828.46,0.0,Low,126811.28
POL0000025,LOC0000025,CV36 2YF,52.386400406252974,-2.4699704659316355,West Midlands,UK,Residential,Timber,1916,291187.81,39446.56,0.0,Low,330634.37
