postcode,region,location_count,total_tiv,avg_risk_score
WS84 7EU,West Midlands,1,158570266.38,113.29
RH7 6BA,South East,1,147940367.39,56.437
WS5 4YT,West Midlands,1,136041014.24,28.093
PO1 7DT,South East,1,107099076.75,27.734
W4 5UJ,Greater London,1,100437948.67,27.638
E30 6XA,Greater London,1,94049239.09,110.156
W59 8GN,Greater London,1,84284377.04,27.375
NP48 3BH,Wales,1,75861414.64,81.65
LU82 6KT,East of England,1,75345998.21,54.413
OX59 5WA,South East,1,74487324.6,54.378
,South East,18,73129541.67,40.10461111111111
LS30 4VW,Yorkshire and the Humber,1,72880435.88,81.469
WA53 4JH,North West,1,71975880.85,27.138
CO63 4RP,East of England,1,70205159.37,27.1
E44 3YP,Greater London,1,70073000.92,54.195
PO11 5GN,South East,1,69294690.04,81.242
BS47 5BB,South West,1,68401686.08,54.123
BN51 2SG,South East,1,63595325.99,26.952
HU89 7AA,Yorkshire and the Humber,1,62447562.63,80.774
,East of England,12,62272360.34,41.224583333333335
WC91 5PN,Greater London,1,60955301.77,107.554
,Greater London,21,59054025.73,32.24995238095238
W9 5JZ,Greater London,1,57407119.59,53.597
SW63 4ZX,Greater London,1,56518092.63,26.775
DD24 2ZT,Scotland,1,55628757.01,53.503
NR55 8WP,East of England,1,53501428.6,80.078
CM19 3DK,East of England,1,53000335.39,53.357
NR96 4VA,East of England,1,52904312.66,26.676
S21 8SN,Yorkshire and the Humber,1,52891516.07,80.027
GU48 1VY,South East,1,52506733.75,26.665
PL56 2DV,South West,1,50132978.1,53.191
GU6 2ET,South East,1,50087632.72,53.188
NW49 6YX,Greater London,1,47966749.69,26.529
LU73 3WR,East of England,1,47824918.14,79.574
HD66 3FC,Yorkshire and the Humber,1,47767241.89,26.523
HU29 6SH,Yorkshire and the Humber,1,46765648.94,52.982
NG70 8MJ,East Midlands,1,46563569.51,26.484
CM38 5CC,East of England,1,45550959.39,26.452
WV4 3WF,West Midlands,1,45467009.15,79.346
WN74 8KW,North West,1,45153898.11,26.438
