region,location_count,valid_location_count,total_tiv,avg_tiv,max_tiv,avg_risk_score
Greater London,3362,3316,8060654189.89,2397577.093958953,100437948.67,30.389770672218916
South East,1949,1915,4664507817.38,2393282.615382247,147940367.39,28.957420728578757
North West,1533,1507,3520038986.28,2296176.768610568,71975880.85,27.533453359425963
West Midlands,1353,1334,3338159951.4900002,2467228.3455210645,158570266.38,25.028126385809312
East of England,1174,1155,2927006410.68,2493191.150494037,75345998.21,30.066348381601365
Yorkshire and the Humber,1217,1200,2826844340.31,2322797.321536565,72880435.88,27.116711585866888
South West,996,975,2381985078.47,2391551.2836044175,68401686.08,29.72061546184739
Scotland,1038,1017,2272381816.94,2189192.501868979,55628757.01,27.805398843930636
East Midlands,779,774,1876824547.47,2409274.1302567394,46563569.51,24.373854942233635
Wales,755,738,1728540725.68,2289457.914807947,75861414.64,27.27982913907285
Northern Ireland,426,419,1010276264.12,2371540.5261032865,39919483.17,27.53467605633803
North East,418,411,790423571.91,1890965.4830382774,29292902.07,24.950535885167465
